ID,bedrooms,bathrooms,living_space,address,city,state,zipcode,latitude,longitude,property_url,price
515,4,2,1872.0,"17035 Rising Ridge Ln, Cottonwood, CA 96022",Cottonwood,CA,96022,40.267258,-122.40566,https://www.zillow.com/homedetails/17035-Rising-Ridge-Ln-Cottonwood-CA-96022/2066397403_zpid/,335000.0
516,4,4,3226.0,"12005 Deer Park Dr, Nevada City, CA 95959",Nevada City,CA,95959,39.24398,-121.06406,https://www.zillow.com/homedetails/12005-Deer-Park-Dr-Nevada-City-CA-95959/68553120_zpid/,748900.0
517,4,3,3914.0,"18425 River Downs Way, Cottonwood, CA 96022",Cottonwood,CA,96022,40.32908,-122.2613,https://www.zillow.com/homedetails/18425-River-Downs-Way-Cottonwood-CA-96022/113200435_zpid/,1699000.0
518,2,2,700.0,"3557 Dickens Ln, Cottonwood, CA 96022",Cottonwood,CA,96022,40.391823,-122.36067,https://www.zillow.com/homedetails/3557-Dickens-Ln-Cottonwood-CA-96022/335648509_zpid/,229000.0
519,2,1,1393.0,"20849 New Rome Rd, Nevada City, CA 95959",Nevada City,CA,95959,39.304237,-121.0397,https://www.zillow.com/homedetails/20849-New-Rome-Rd-Nevada-City-CA-95959/19445538_zpid/,189000.0
520,3,3,2100.0,"20135 Gas Point Rd, Cottonwood, CA 96022",Cottonwood,CA,96022,40.388218,-122.30674,https://www.zillow.com/homedetails/20135-Gas-Point-Rd-Cottonwood-CA-96022/15225970_zpid/,699000.0
521,6,8,8263.0,"21374 Maidu Rdg, Nevada City, CA 95959",Nevada City,CA,95959,39.37622,-121.06081,https://www.zillow.com/homedetails/21374-Maidu-Rdg-Nevada-City-CA-95959/119598002_zpid/,4750000.0
522,3,3,2924.0,"14417 Banner Mountain Lookout Rd, Nevada City, CA 95959",Nevada City,CA,95959,39.245403,-120.95929,https://www.zillow.com/homedetails/14417-Banner-Mountain-Lookout-Rd-Nevada-City-CA-95959/68553454_zpid/,865000.0
523,2,1,1200.0,"13331 Lowell Hill Rd, Nevada City, CA 95959",Nevada City,CA,95959,39.272743,-120.75837,https://www.zillow.com/homedetails/13331-Lowell-Hill-Rd-Nevada-City-CA-95959/2067268533_zpid/,599000.0
524,3,2,2392.0,"16254 Grizzly Ridge Rd, Nevada City, CA 95959",Nevada City,CA,95959,39.395233,-120.90994,https://www.zillow.com/homedetails/16254-Grizzly-Ridge-Rd-Nevada-City-CA-95959/205264218_zpid/,925000.0
525,4,4,3120.0,"18433 Starduster Dr, Nevada City, CA 95959",Nevada City,CA,95959,39.264572,-121.179756,https://www.zillow.com/homedetails/18433-Starduster-Dr-Nevada-City-CA-95959/19444558_zpid/,739000.0
526,3,3,3123.0,"126 Boulder St, Nevada City, CA 95959",Nevada City,CA,95959,39.26116,-121.01394,https://www.zillow.com/homedetails/126-Boulder-St-Nevada-City-CA-95959/19426436_zpid/,1300000.0
527,3,3,2943.0,"13595 Quaker Hill Cross Rd, Nevada City, CA 95959",Nevada City,CA,95959,39.258644,-120.95507,https://www.zillow.com/homedetails/13595-Quaker-Hill-Cross-Rd-Nevada-City-CA-95959/19449047_zpid/,949000.0
528,4,4,4036.0,"13268 Woodstock Dr, Nevada City, CA 95959",Nevada City,CA,95959,39.241085,-120.974945,https://www.zillow.com/homedetails/13268-Woodstock-Dr-Nevada-City-CA-95959/19451589_zpid/,1288000.0
529,3,4,2322.0,"10688 Foster Driveway Rd, Nevada City, CA 95959",Nevada City,CA,95959,39.277046,-121.03934,https://www.zillow.com/homedetails/10688-Foster-Driveway-Rd-Nevada-City-CA-95959/19424904_zpid/,869000.0
530,3,2,1224.0,"22150 Oak Run Pl, Cottonwood, CA 96022",Cottonwood,CA,96022,40.35757,-122.21185,https://www.zillow.com/homedetails/22150-Oak-Run-Pl-Cottonwood-CA-96022/16183103_zpid/,324900.0
531,3,3,2000.0,"11300 N Bloomfield Graniteville Rd, Nevada City, CA 95959",Nevada City,CA,95959,39.281124,-121.01405,https://www.zillow.com/homedetails/11300-N-Bloomfield-Graniteville-Rd-Nevada-City-CA-95959/2069084333_zpid/,525000.0
532,2,2,2700.0,"17780 Benson Rd, Cottonwood, CA 96022",Cottonwood,CA,96022,40.310455,-122.38162,https://www.zillow.com/homedetails/17780-Benson-Rd-Cottonwood-CA-96022/16168048_zpid/,699000.0
533,3,3,2448.0,"16865 Big Pines Rd, Cottonwood, CA 96022",Cottonwood,CA,96022,40.28511,-122.404274,https://www.zillow.com/homedetails/16865-Big-Pines-Rd-Cottonwood-CA-96022/69035939_zpid/,637500.0
534,3,2,1560.0,"16310 Bowman Rd, Cottonwood, CA 96022",Cottonwood,CA,96022,40.32497,-122.43264,https://www.zillow.com/homedetails/16310-Bowman-Rd-Cottonwood-CA-96022/16167711_zpid/,325000.0
535,3,2,2130.0,"4334 Valley St, Cottonwood, CA 96022",Cottonwood,CA,96022,40.414486,-122.27434,https://www.zillow.com/homedetails/4334-Valley-St-Cottonwood-CA-96022/131630353_zpid/,484900.0
